topic,target_forks,priority_rank,notes
Acute Coronary Syndrome,4,1,"STEMI vs NSTEMI management; PCI vs thrombolytics timing; antiplatelet selection; cardiogenic shock recognition"
Pulmonary Embolism,4,2,"Wells + D-dimer algorithm; massive vs submassive management; anticoagulation vs thrombolytics; hemodynamic instability recognition"
Sepsis,4,3,"Fluid resuscitation vs vasopressors; source control timing; antibiotic selection; lactate-guided therapy"
GI Bleed,4,4,"Upper vs lower localization; transfusion threshold; PPI vs endoscopy timing; variceal vs non-variceal management"
Diabetic Ketoacidosis,3,5,"Insulin timing relative to potassium; fluid type selection; bicarbonate threshold; resolution criteria"
Acute Pancreatitis,4,6,"Ranson vs CT severity; early feeding vs NPO; cholecystectomy timing; necrotizing vs interstitial management"
Cirrhosis and Spontaneous Bacterial Peritonitis,4,7,"Diagnostic paracentesis indications; empiric vs targeted antibiotics; albumin co-administration; hepatorenal syndrome recognition"
Acute Kidney Injury,3,8,"Pre-renal vs intrinsic differentiation; fluid challenge interpretation; dialysis indications; nephrotoxin discontinuation"
Stroke,4,9,"tPA window and contraindications; hemorrhagic vs ischemic differentiation; blood pressure management; large vessel occlusion triage"
Community-Acquired Pneumonia,3,10,"CURB-65 disposition; empiric antibiotic selection by setting; atypical vs typical coverage; treatment failure workup"
CHF Exacerbation,3,11,"Diuresis strategy; afterload reduction selection; cardiogenic shock recognition; discharge readiness"
COPD Exacerbation,3,12,"Bronchodilator escalation; steroid duration; antibiotic indications; NIV vs intubation threshold"
Meningitis,3,13,"Empiric antibiotics before vs after LP; dexamethasone timing; CSF interpretation; age-based coverage"
Hyperosmolar Hyperglycemic State,3,14,"Fluid correction rate; insulin timing vs DKA; osmolality monitoring; cerebral edema prevention"
Asthma Exacerbation,3,15,"Severity classification; stepwise escalation; magnesium indications; intubation decision"
Deep Vein Thrombosis,3,16,"Anticoagulation initiation; provoked vs unprovoked duration; IVC filter indications; outpatient vs inpatient management"
Syncope,3,17,"Cardiac vs vasovagal differentiation; high-risk features identification; workup prioritization; disposition decision"
Transient Ischemic Attack,3,18,"ABCD2 risk stratification; imaging selection; dual antiplatelet indication; admission vs discharge decision"
Infective Endocarditis,3,19,"Duke criteria application; empiric coverage selection; surgical indications; blood culture timing"
Hypercalcemia,3,20,"Malignancy vs hyperparathyroidism workup; IV saline + calcitonin urgency; bisphosphonate timing; severity-based management"
