shelf,system,task_type,age_group,yield_tier,nodes_seeded,items_published,target,gap,status
medicine,Cardiology,diagnosis,elderly,tier_1,18,0,3,3,critical
medicine,Cardiology,diagnosis,middle_aged,tier_1,18,0,3,3,critical
medicine,Cardiology,diagnosis,young_adult,tier_1,1,0,3,3,critical
medicine,Cardiology,diagnostic_test,elderly,tier_1,10,0,3,3,critical
medicine,Cardiology,diagnostic_test,young_adult,tier_1,10,0,3,3,critical
medicine,Cardiology,next_step,elderly,tier_1,13,0,3,3,critical
medicine,Cardiology,next_step,middle_aged,tier_1,2,0,3,3,critical
medicine,Cardiovascular,diagnostic_test,elderly,tier_1,1,0,3,3,critical
medicine,Cardiovascular,diagnostic_test,young_adult,tier_1,1,0,3,3,critical
medicine,Cardiovascular,next_step,elderly,tier_1,1,0,3,3,critical
medicine,Cardiovascular,next_step,middle_aged,tier_1,1,0,3,3,critical
medicine,Critical Care/Shock,diagnostic_test,elderly,tier_1,7,0,3,3,critical
medicine,Critical Care/Shock,diagnostic_test,middle_aged,tier_1,1,0,3,3,critical
medicine,Critical Care/Shock,next_step,middle_aged,tier_1,9,0,3,3,critical
medicine,Critical Care/Shock,stabilization,elderly,tier_1,7,0,3,3,critical
medicine,Critical Care/Shock,stabilization,young_adult,tier_1,9,0,3,3,critical
medicine,Dermatology-within-IM,stabilization,young_adult,tier_1,8,0,3,3,critical
medicine,Electrolytes/Acid-Base,diagnostic_test,elderly,tier_1,9,0,3,3,critical
medicine,Electrolytes/Acid-Base,diagnostic_test,middle_aged,tier_1,19,0,3,3,critical
medicine,Electrolytes/Acid-Base,stabilization,elderly,tier_1,10,0,3,3,critical
medicine,Endocrine,diagnostic_test,elderly,tier_1,1,0,3,3,critical
medicine,Endocrinology,diagnosis,middle_aged,tier_1,10,0,3,3,critical
medicine,Endocrinology,diagnostic_test,elderly,tier_1,10,0,3,3,critical
medicine,Endocrinology,diagnostic_test,middle_aged,tier_1,8,0,3,3,critical
medicine,Endocrinology,next_step,elderly,tier_1,10,0,3,3,critical
medicine,Endocrinology,next_step,middle_aged,tier_1,1,0,3,3,critical
medicine,Endocrinology,risk_identification,elderly,tier_1,1,0,3,3,critical
medicine,Endocrinology,stabilization,elderly,tier_1,10,0,3,3,critical
medicine,Endocrinology,stabilization,middle_aged,tier_1,7,0,3,3,critical
medicine,Gastroenterology,complication_recognition,middle_aged,tier_1,1,0,3,3,critical
medicine,Gastroenterology,diagnosis,young_adult,tier_1,20,0,3,3,critical
medicine,Gastroenterology,diagnostic_test,middle_aged,tier_1,10,0,3,3,critical
medicine,Gastroenterology,next_step,elderly,tier_1,18,0,3,3,critical
medicine,Gastroenterology,next_step,middle_aged,tier_1,1,0,3,3,critical
medicine,Gastroenterology,stabilization,elderly,tier_1,1,0,3,3,critical
medicine,Gastrointestinal,diagnostic_test,middle_aged,tier_1,1,0,3,3,critical
medicine,Gastrointestinal,next_step,middle_aged,tier_1,1,0,3,3,critical
medicine,Gastrointestinal,stabilization,elderly,tier_1,1,0,3,3,critical
medicine,Hematology/Oncology,complication_recognition,young_adult,tier_1,1,0,3,3,critical
medicine,Hematology/Oncology,diagnosis,elderly,tier_1,18,0,3,3,critical
medicine,Hematology/Oncology,diagnosis,middle_aged,tier_1,10,0,3,3,critical
medicine,Hematology/Oncology,diagnostic_test,middle_aged,tier_1,19,0,3,3,critical
medicine,Hematology/Oncology,diagnostic_test,young_adult,tier_1,11,0,3,3,critical
medicine,Hematology/Oncology,next_step,middle_aged,tier_1,11,0,3,3,critical
medicine,Hepatology,diagnosis,middle_aged,tier_1,21,0,3,3,critical
medicine,Hepatology,diagnosis,young_adult,tier_1,7,0,3,3,critical
medicine,Hepatology,next_step,elderly,tier_1,1,0,3,3,critical
medicine,Hepatology,next_step,middle_aged,tier_1,2,0,3,3,critical
medicine,Infectious Disease,diagnostic_test,young_adult,tier_1,1,0,3,3,critical
medicine,Infectious Disease,next_step,elderly,tier_1,21,0,3,3,critical
medicine,Infectious Disease,next_step,young_adult,tier_1,11,0,3,3,critical
medicine,Infectious Disease,stabilization,elderly,tier_1,10,0,3,3,critical
medicine,Infectious Disease,stabilization,young_adult,tier_1,10,0,3,3,critical
medicine,Nephrology,diagnostic_test,elderly,tier_1,10,0,3,3,critical
medicine,Nephrology,diagnostic_test,middle_aged,tier_1,10,0,3,3,critical
medicine,Nephrology,diagnostic_test,young_adult,tier_1,8,0,3,3,critical
medicine,Nephrology,next_step,elderly,tier_1,10,0,3,3,critical
medicine,Nephrology,next_step,middle_aged,tier_1,10,0,3,3,critical
